1011,8995
1012,8020
1013,21180
1014,220
1015,14600
1016,10685
1017,12375
1018,20210
1019,18030
1021,6975
1022,1595
1023,4550
1024,12165
1025,14955
1026,505
1027,410
1028,575
1031,5190
1032,4750
1033,11310
1034,12865
1035,9665
1036,990
1037,135
1041,30
1042,35
1043,60
1044,5
1045,130
1046,25
1047,45
1051,12570
1052,11475
1053,14960
1054,16420
1055,19660
1056,17820
1057,16165
1058,14065
1059,6245
1060,10285
1061,10710
1062,7805
1063,12445
1064,15935
1065,10690
1066,17530
1067,16430
1068,15385
1069,23045
1071,12600
1072,13050
1073,12825
1074,7905
1075,10230
1076,11545
1077,9425
1078,14170
1079,13545
1081,4695
1082,8845
1083,5965
1086,3210
1087,14160
1091,15345
1092,8875
1093,8210
1094,12380
1095,11120
1096,2030
1097,13050
1098,13755
1101,70
1102,21180
1103,13445
1104,12345
1105,105
1106,18555
1107,11775
1108,2920
1109,1500
1111,13205
1112,8195
1113,3600
1115,4730
1118,10
1119,20
1121,9065
1127,770
1131,8735
1132,12530
1135,7210
1141,9890
1145,220
1151,2400
1153,315
1154,135
1156,1795
1161,7570
1165,2390
1171,12025
1175,830
1181,18575
1182,3760
1183,13045
1184,565
1185,10365
1186,12790
1187,14830
1188,7405
1189,465
1191,8345
1211,8440
1212,3420
1213,6425
1214,7450
1215,10140
1216,8785
1217,7325
1218,4095
1221,7805
1222,10275
1223,10820
1231,8510
1241,6725
1243,1260
1244,1500
1251,11070
1252,340
1261,8955
1271,7930
1272,6200
1273,9015
1274,6910
1275,2185
1276,7215
1277,2260
1309,40
1311,4750
1312,7410
1313,4570
1314,5945
1315,3570
1316,4425
1317,4180
1318,9410
1319,4475
1321,9910
1322,0
1323,6590
1324,10170
1325,10800
1326,11745
1327,5
1328,10070
1329,0
1331,245
1332,30
1333,12645
1334,1335
1335,12085
1336,7230
1338,10010
1339,11320
1343,1165
1349,180
1351,2035
1352,1670
1353,4470
1354,2845
1355,2685
1356,2750
1357,3420
1358,515
1359,1695
1361,125
1363,4085
1381,4920
1382,9320
1383,3745
1391,7430
1393,1570
1394,5105
1396,1360
1398,3315
1399,3180
1401,4865
1402,9355
1403,9000
1404,3135
1405,2810
1406,3245
1411,9740
1412,7445
1421,5260
1422,12900
1423,6005
1424,3955
1426,900
1427,970
1428,105
1431,11645
1432,9640
1433,8900
1435,4055
1436,500
1437,80
1438,160
1441,13935
1442,6720
1443,6940
1444,6765
1445,9380
1446,5300
1447,13425
1448,16725
1451,410
1452,1835
1454,405
1456,1755
1458,180
1461,2805
1462,4380
1463,600
1464,795
1471,830
1472,705
1473,765
1474,3250
1475,535
1476,100
1477,155
1481,105
1482,145
1483,4035
1484,875
1485,85
1486,710
1487,290
1488,195
1489,165
1501,6085
1502,7540
1503,10515
1504,8045
1505,5750
1506,11750
1507,12050
1508,4535
1509,6585
1511,9120
1521,10650
1525,605
1531,12580
1534,520
1536,305
1541,11260
1544,8810
1546,760
1551,4415
1561,7805
1562,9250
1566,13110
1567,8110
1601,7320
1602,10850
1606,4260
1607,1550
1608,1395
1609,105
1611,10635
1613,8655
1614,2105
1616,7850
1617,1775
1619,6530
1621,5310
1622,8105
1623,2600
1624,5215
1625,9210
1627,20
1628,21515
1631,460
1633,3660
1634,460
1636,1285
1641,920
1642,40
1643,480
1645,2875
1646,80
1647,2445
1648,2855
1652,520
1654,730
1655,930
1657,2165
1658,190
1661,425
1662,320
1663,105
1671,8345
1674,1940
1676,1030
1678,905
1679,2370
1681,250
1682,190
1683,210
1684,480
1685,450
1686,135
1687,5335
1688,2400
1689,14280
1691,635
1692,35
1693,7640
1695,4435
1696,1555
1697,845
1701,8375
1702,8290
1703,12770
1704,6735
1705,15815
1711,1670
1713,5685
1715,3720
1716,2330
1718,4025
1719,485
1721,5110
1722,6260
1723,5295
1724,4005
1731,3270
1732,750
1733,3195
1734,430
1735,2045
